event_id,prob_12h,prob_24h,prob_48h,prob_72h
10662602,0.001,0.001,0.001,0.001
13353600,0.810526,0.896842,0.896842,0.999
13942327,0.001,0.001,0.001,0.001
16112781,0.901053,0.901053,0.901053,0.999
17132808,0.001,0.001,0.001,0.001
17445696,0.001,0.001,0.001,0.001
17599982,0.001,0.001,0.001,0.001
18750374,0.848421,0.848421,0.856838,0.999
21365245,0.001,0.001,0.001,0.001
23634840,0.729474,0.882105,0.882105,0.999
24461897,0.001,0.001,0.001,0.001
25353357,0.001,0.001,0.001,0.001
27052376,0.983158,0.983158,0.983158,0.999
29312582,0.001,0.001,0.001,0.001
30451420,0.001,0.001,0.001,0.001
31488932,0.001,0.001,0.001,0.001
33717208,0.001,0.001,0.001,0.001
34826241,0.001,0.001,0.001,0.001
35311039,1.0,1.0,1.0,1.0
36423390,0.001,0.001,0.001,0.001
37196135,0.778947,0.875789,0.875789,0.999
37355453,0.001,0.001,0.001,0.001
37536067,0.789474,0.890526,0.890526,0.999
39717591,0.001,0.001,0.001,0.001
40833127,0.001,0.001,0.001,0.001
41907240,0.882105,0.882105,0.893162,0.999
42963675,0.001,0.001,0.001,0.001
42997746,0.001,0.001,0.001,0.001
43341281,0.001,0.001,0.001,0.001
43371713,0.810526,0.810526,0.810526,0.999
44872967,0.858947,0.858947,0.858947,0.999
46574754,0.757895,0.757895,0.757895,0.757895
46767506,0.829474,0.829474,0.856838,0.999
49169401,0.001,0.001,0.001,0.001
49502022,0.001,0.001,0.001,0.001
49565135,0.985263,0.989474,0.989474,0.999
50233410,0.833684,0.833684,0.833684,0.999
50541231,0.001,0.001,0.001,0.001
51664538,0.001,0.001,0.001,0.001
52004768,0.001,0.001,0.001,0.001
52039660,0.001,0.001,0.001,0.001
52614032,0.001,0.001,0.001,0.001
53407288,0.001,0.001,0.001,0.001
53799231,0.001,0.001,0.001,0.001
54348573,0.001,0.001,0.001,0.001
54459140,0.001,0.001,0.001,0.001
54759639,0.001,0.001,0.001,0.001
54801108,0.930526,0.930526,0.989316,0.999
55504460,0.924211,0.924211,0.924211,0.924211
58802003,0.001,0.001,0.001,0.001
58854430,0.001,0.001,0.001,0.001
59191113,0.001,0.001,0.001,0.001
59221605,0.743158,0.873684,0.873684,0.999
60804856,0.945263,0.945263,1.0,1.0
61713947,0.001,0.001,0.001,0.001
62129708,0.884211,0.901053,0.972222,0.999
66849621,0.928421,0.928421,0.928421,0.999
67124529,0.001,0.001,0.001,0.001
69348035,0.001,0.001,0.001,0.001
69572379,0.001,0.001,0.001,0.001
69836438,0.001,0.001,0.001,0.001
70283101,0.951579,0.951579,0.951579,0.999
70501603,0.746316,0.865263,0.865263,0.999
70993222,0.001,0.001,0.001,0.001
71474230,0.781053,0.781053,0.790598,0.999
71532972,0.001,0.001,0.001,0.001
72973561,0.001,0.001,0.001,0.001
73023698,0.001,0.001,0.001,0.001
74751606,0.001,0.001,0.001,0.001
74945408,0.728421,0.797895,0.797895,0.999
75012237,0.968421,0.972632,0.972632,0.999
75726601,0.001,0.001,0.001,0.001
78173856,0.001,0.001,0.001,0.001
78227688,0.001,0.001,0.001,0.001
78266693,0.001,0.001,0.001,0.001
78502343,0.001,0.001,0.001,0.001
78780565,0.001,0.001,0.001,0.001
80446138,0.001,0.001,0.001,0.001
80819726,0.001,0.001,0.001,0.001
81010506,0.001,0.001,0.001,0.001
81611002,0.001,0.001,0.001,0.001
81715663,0.852632,0.852632,0.852632,0.999
82779392,0.001,0.001,0.001,0.001
83261710,0.001,0.001,0.001,0.001
84903193,0.001,0.001,0.001,0.001
87245976,0.001,0.001,0.001,0.001
87273546,0.001,0.001,0.001,0.001
89909836,0.001,0.001,0.001,0.001
91234126,0.001,0.001,0.001,0.001
93027270,0.837895,0.837895,0.858974,0.999
94627327,0.001,0.001,0.001,0.001
96570675,0.001,0.001,0.001,0.001
97225766,0.001,0.001,0.001,0.001
98446281,0.001,0.001,0.001,0.001
99649465,0.001,0.001,0.001,0.001
