Country,Region,Cause,year,month,fires_count,burned_area_ha,temperature_c,humidity_percent,wind_speed_kmh
Turkey,Mugla,Lightning,1881,8,353,76920,33,91,25
Turkey,Antalya,Lightning,1881,7,154,64920,38,34,39
Turkey,Izmir,Unknown,1881,6,196,83204,36,93,50
Spain,Catalonia,Lightning,1881,7,63,84578,42,64,16
Spain,Andalusia,Deforestation,1881,10,450,84754,17,55,8
USA,California,Lightning,1881,9,333,80138,18,93,61
USA,Texas,Human,1881,10,246,43101,40,57,3
USA,Oregon,Unknown,1881,8,96,23583,22,51,36
Brazil,Amazonas,Lightning,1881,10,85,92167,18,6,7
Brazil,Mato Grosso,Climate Change,1881,10,110,53095,32,94,45
Greece,Athens,Unknown,1881,6,206,92193,28,52,16
Greece,Crete,Human,1881,10,219,91487,35,84,54
Australia,New South Wales,Unknown,1881,6,221,86879,43,19,46
Australia,Victoria,Human,1881,5,349,40874,38,5,9
Portugal,Lisbon,Deforestation,1881,7,85,33259,49,37,6
Portugal,Porto,Human,1881,6,235,64605,42,11,13
Italy,Sicily,Climate Change,1881,6,37,89235,49,48,36
Italy,Sardinia,Deforestation,1881,5,231,8210,15,9,15
Russia,Siberia,Lightning,1881,7,397,306,27,55,64
Russia,Far East,Unknown,1881,5,56,54368,44,27,16
Canada,British Columbia,Climate Change,1881,7,33,33927,46,75,60
Canada,Alberta,Lightning,1881,7,90,22399,20,32,29
France,Corsica,Deforestation,1881,8,48,26039,42,93,63
France,Provence,Human,1881,5,389,66942,27,7,28
China,Yunnan,Human,1881,5,322,3848,38,83,60
China,Sichuan,Human,1881,10,164,95939,26,43,3
India,Madhya Pradesh,Human,1881,7,117,67272,31,63,3
India,Assam,Climate Change,1881,6,224,954,46,5,20
Turkey,Mugla,Unknown,1882,10,134,87192,40,36,33
Turkey,Antalya,Deforestation,1882,8,443,98606,31,42,25
Turkey,Izmir,Deforestation,1882,9,376,65833,30,77,60
Spain,Catalonia,Deforestation,1882,10,468,15808,34,63,37
Spain,Andalusia,Deforestation,1882,7,350,34854,34,75,53
USA,California,Lightning,1882,5,421,83979,15,15,58
USA,Texas,Lightning,1882,5,438,47354,49,11,17
USA,Oregon,Unknown,1882,6,116,16471,16,5,49
Brazil,Amazonas,Climate Change,1882,10,144,21032,46,13,20
Brazil,Mato Grosso,Human,1882,7,408,6395,38,79,37
Greece,Athens,Deforestation,1882,10,108,61367,39,29,19
Greece,Crete,Deforestation,1882,10,342,77605,30,65,42
Australia,New South Wales,Human,1882,8,165,38567,28,25,49
Australia,Victoria,Deforestation,1882,8,388,46314,31,37,49
Portugal,Lisbon,Climate Change,1882,8,447,40918,22,31,28
Portugal,Porto,Human,1882,6,281,54145,42,68,62
Italy,Sicily,Unknown,1882,7,8,73844,42,34,47
Italy,Sardinia,Unknown,1882,9,10,47302,38,50,54
Russia,Siberia,Unknown,1882,7,192,54340,35,36,34
Russia,Far East,Human,1882,7,132,26741,45,58,59
Canada,British Columbia,Lightning,1882,7,364,51985,46,51,24
Canada,Alberta,Lightning,1882,6,131,82174,16,94,18
France,Corsica,Climate Change,1882,5,397,78169,40,54,26
France,Provence,Human,1882,9,320,87645,34,69,9
China,Yunnan,Unknown,1882,10,404,76529,37,19,67
China,Sichuan,Lightning,1882,10,55,93948,36,62,59
India,Madhya Pradesh,Deforestation,1882,10,309,70413,47,12,54
India,Assam,Climate Change,1882,8,496,48847,18,10,48
Turkey,Mugla,Unknown,1883,7,315,72715,30,17,31
Turkey,Antalya,Deforestation,1883,7,149,73947,42,62,56
Turkey,Izmir,Climate Change,1883,6,233,32317,37,13,13
Spain,Catalonia,Lightning,1883,9,133,66717,15,38,49
Spain,Andalusia,Climate Change,1883,5,492,56656,15,20,62
USA,California,Deforestation,1883,9,282,59738,26,30,17
USA,Texas,Human,1883,7,489,72889,43,82,48
USA,Oregon,Unknown,1883,5,98,96081,19,80,17
Brazil,Amazonas,Climate Change,1883,6,478,35347,47,27,11
