event_id,prob_12h,prob_24h,prob_48h,prob_72h
10662602,0.0,0.0,0.0,0.0
13353600,0.64011,0.97491,0.99192,0.995
13942327,0.0,0.0,0.0,0.0
16112781,0.73593,0.96103,0.98393,0.995
17132808,0.00086,0.00112,0.00179,0.00179
17445696,0.0,0.0,0.0,0.0
17599982,0.0,0.0,0.0,0.0
18750374,0.28935,0.28935,0.99117,0.995
21365245,0.0,0.0,0.0,0.0
23634840,0.03591,0.97596,0.99257,0.995
24461897,0.0,0.0,0.0,0.0
25353357,0.0,0.0,0.0,0.0
27052376,0.99881,0.99881,0.99881,0.99881
29312582,0.0,0.0,0.0,0.0
30451420,0.0,0.0,0.0,0.0
31488932,0.0,0.0,0.0,0.0
33717208,0.0,0.0,0.0,0.0
34826241,0.0,0.0,0.0,0.0
35311039,0.99873,0.99873,0.99873,0.99873
36423390,0.0,0.0,0.0,0.0
37196135,0.22848,0.96338,0.99227,0.995
37355453,0.0,0.0,0.0,0.0
37536067,0.23319,0.96445,0.99244,0.995
39717591,0.0,0.0,0.0,0.0
40833127,0.0,0.0,0.0,0.0
41907240,0.81924,0.9565,0.99289,0.995
42963675,0.0,0.0,0.0,0.0
42997746,0.0022,0.00313,0.005,0.005
43341281,0.0,0.0,0.0,0.0
43371713,0.70572,0.9504,0.98792,0.995
44872967,0.63915,0.91477,0.91477,0.995
46574754,0.09713,0.86121,0.93578,0.97851
46767506,0.35696,0.79441,0.99129,0.995
49169401,0.0,0.0,0.0,0.0
49502022,0.0,0.0,0.0,0.0
49565135,0.9985,0.99898,0.99898,0.99898
50233410,0.50285,0.92824,0.98295,0.995
50541231,0.00157,0.00157,0.00157,0.00157
51664538,0.0,0.0,0.0,0.0
52004768,0.0,0.0,0.0,0.0
52039660,0.0,0.0,0.0,0.0
52614032,0.0,0.0,0.0,0.0
53407288,0.0,0.0,0.0,0.0
53799231,0.0,0.0,0.0,0.0
54348573,0.0,0.0,0.0,0.0
54459140,0.0,0.0,0.0,0.0
54759639,0.0,0.0,0.0,0.0
54801108,0.97474,0.99874,0.9993,0.9993
55504460,0.98779,0.99415,0.99605,0.99605
58802003,0.00287,0.00326,0.00326,0.00326
58854430,0.00062,0.00069,0.00069,0.00069
59191113,0.0,0.0,0.0,0.0
59221605,0.03632,0.97596,0.99257,0.995
60804856,0.99509,0.99509,0.99946,0.99946
61713947,0.0,0.0,0.0,0.0
62129708,0.59765,0.99506,0.99947,0.99947
66849621,0.58516,0.99691,0.99691,0.99691
67124529,0.0,0.0,0.0,0.0
69348035,0.0,0.0,0.0,0.0
69572379,0.0,0.0,0.0,0.0
69836438,0.0,0.0,0.0,0.0
70283101,0.98197,0.99674,0.99729,0.99729
70501603,0.03591,0.97596,0.99257,0.995
70993222,0.0,0.0,0.0,0.0
71474230,0.08516,0.87119,0.98765,0.995
71532972,0.00234,0.00234,0.00234,0.00234
72973561,0.0,0.0,0.0,0.0
73023698,0.0,0.0,0.0,0.0
74751606,0.0,0.0,0.0,0.0
74945408,0.02158,0.71555,0.71555,0.995
75012237,0.99846,0.99916,0.99916,0.99916
75726601,0.0,0.0,0.0,0.0
78173856,0.0,0.0,0.0,0.0
78227688,0.0,0.0,0.0,0.0
78266693,0.0,0.0,0.0,0.0
78502343,0.0,0.0,0.0,0.0
78780565,0.0,0.0,0.0,0.0
80446138,0.00127,0.00206,0.0045,0.0045
80819726,0.0,0.0,0.0,0.0
81010506,0.0,0.0,0.0,0.0
81611002,0.0,0.0,0.0,0.0
81715663,0.55106,0.92591,0.9814,0.995
82779392,0.0,0.0,0.0,0.0
83261710,0.0,0.0,0.0,0.0
84903193,0.0,0.0,0.0,0.0
87245976,0.0,0.0,0.0,0.0
87273546,0.00319,0.00423,0.005,0.005
89909836,0.0,0.0,0.0,0.0
91234126,0.00297,0.00297,0.00297,0.00297
93027270,0.50818,0.97315,0.99163,0.995
94627327,0.00088,0.00088,0.00088,0.00088
96570675,0.0,0.0,0.0,0.0
97225766,0.0,0.0,0.0,0.0
98446281,0.00152,0.00152,0.00152,0.00152
99649465,0.0,0.0,0.0,0.0
