event_id,num_perimeters_0_5h,dt_first_last_0_5h,low_temporal_resolution_0_5h,area_first_ha,area_growth_abs_0_5h,area_growth_rel_0_5h,area_growth_rate_ha_per_h,log1p_area_first,log1p_growth,log_area_ratio_0_5h,relative_growth_0_5h,radial_growth_m,radial_growth_rate_m_per_h,centroid_displacement_m,centroid_speed_m_per_h,spread_bearing_deg,spread_bearing_sin,spread_bearing_cos,dist_min_ci_0_5h,dist_std_ci_0_5h,dist_change_ci_0_5h,dist_slope_ci_0_5h,closing_speed_m_per_h,closing_speed_abs_m_per_h,projected_advance_m,dist_accel_m_per_h2,dist_fit_r2_0_5h,alignment_cos,alignment_abs,cross_track_component,along_track_speed,event_start_hour,event_start_dayofweek,event_start_month,time_to_hit_hours,event,log_dist
10892457,3,4.265188315,0,79.6963044,2.875934607,0.036086173,0.674280804,4.39069278,1.354786823,0.035450318,0.036086173,9.007182413,2.111790089,8.274970757,1.9401185,70.13050741,0.94046923,0.339878841,6166.121596,0.205085268,0.43505155,0.10909975,-0.102000549,0.102000549,-0.43505155,0.072756109,0.886373271,-0.054649077,0.054649077,-1.937219231,-0.106025686,19,4,5,18.89251185,0,8.726987492001587
11757157,2,1.169917662,0,8.946749378,0.0,0.0,0.0,2.297245802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2930.925956,0.0,0.0,-3.89e-13,0.0,0.0,0.0,0.0,0.0,-0.568898211,0.568898211,0.0,0.0,4,4,6,22.04810801,1,7.983414808935955
11945086,4,4.777526033,0,106.4826377,0.0,0.0,0.0,4.677329325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3272.37509,0.0,0.0,-1.39e-13,0.0,0.0,0.0,7.97e-14,0.0,0.882385438,0.882385438,0.0,0.0,22,4,8,0.888895483,1,8.09357686921818
12044083,1,0.0,1,67.63112471,0.0,0.0,0.0,4.228746145,0.0,0.0,0.0,0.8299727189619073,0.15404248092861883,0.0,0.23396342600141748,0.0,0.0,1.0,64119.87138,0.0,-0.07205018683090286,-0.00035082864685958746,0.0,0.0,0.0,0.0,0.0,0.0,0.8489644908672906,0.0,0.0,20,5,8,60.95302147,0,11.068525196462714
12052347,2,4.975273027,0,35.63287351,0.0,0.0,0.0,3.600946021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18005.43226,0.0,0.0,3.66e-13,0.0,0.0,0.0,0.0,0.0,0.934634116,0.934634116,0.0,0.0,21,5,7,44.99027447,0,9.798484320822569
12773599,1,0.0,1,184.7676097,0.0,0.0,0.0,5.224496483,0.0,0.0,0.0,8.49589115879472,3.7520011268439193,22.21401635351153,7.7274567148929405,0.0,0.0,1.0,35232.56297,0.0,-86.72600583992417,-4.439398584263755,15.498176042637182,9.397820500640139,0.0,0.0,0.0,0.0,0.20146318503661076,0.0,0.0,0,5,7,44.02638364,0,10.469754400765952
13122360,1,0.0,1,119.3642031,0.0,0.0,0.0,4.790522173,0.0,0.0,0.0,274.99129333119595,65.16589157274994,110.26809694447692,60.91794010499735,0.0,0.0,1.0,3530.472886,0.0,175.4042587227804,68.58590542480617,0.0,0.0,0.0,0.0,0.0,0.0,0.1617696703070228,0.0,0.0,21,1,3,14.84539185,1,8.169470311062176
13745272,1,0.0,1,1388.283778,0.0,0.0,0.0,7.236543626,0.0,0.0,0.0,132.02094214290835,44.47688738964532,349.58785697154804,55.80032442681069,0.0,0.0,1.0,8038.691359,0.0,-238.94662276314753,-34.5057842287636,41.925510328868725,88.39913381241907,0.0,0.0,0.0,0.0,0.1499424831641338,0.0,0.0,16,0,6,66.76792704,0,8.992145973252088
15247236,2,1.892775762,0,4.493970165,0.0,0.0,0.0,1.703651157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31758.58114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106322185,0.106322185,0.0,0.0,18,5,8,39.91263007,0,10.365949726986953
15743535,1,0.0,1,5.218524435,0.0,0.0,0.0,1.82753265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1995.042356,0.0,9.853169798833623,2.30467909781238,0.0,0.0,0.0,0.0,0.0,0.0,0.6900166052790235,0.0,0.0,17,2,7,54.63810941,1,7.598921677087141
15846088,1,0.0,1,634.4801393,0.0,0.0,0.0,6.454380838,0.0,0.0,0.0,3.851181135843676,2.1649036709019214,6.217836980796481,0.3333782273490352,0.0,0.0,1.0,260304.5127,0.0,-0.24092392731786882,-0.05851209162528163,0.04303314899918544,0.3872742818961443,0.0,0.0,0.0,0.0,0.9972498099102737,0.0,0.0,21,3,8,66.64396895,0,12.469611269014258
16870867,1,0.0,1,117.2198902,0.0,0.0,0.0,4.772546367,0.0,0.0,0.0,24.369827851429964,4.863379620498507,22.2348207169676,7.1467695337566095,0.0,0.0,1.0,2702.951028,0.0,21.589138093561793,3.871743258535743,0.0,8.78241174104684,0.0,0.0,0.0,0.0,0.8256506229261079,0.0,0.0,22,1,7,15.92468789,1,7.902469326052104
17127751,1,0.0,1,17.34201326,0.0,0.0,0.0,2.909194235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4262.34909,0.0,16.624664083351497,4.749360417910676,0.0,0.7398838932814864,0.0,0.0,0.0,0.0,0.9440339164474568,0.0,0.0,22,3,7,10.90745899,1,8.357810301754087
17735080,1,0.0,1,49.25825835,0.0,0.0,0.0,3.917174879,0.0,0.0,0.0,6.652272599060519,0.0,14.018145434827801,2.5326636362397363,0.0,0.0,1.0,482691.6929,0.0,-0.005944340822592219,0.0032422445206139023,0.0,0.0,0.0,0.0,0.0,0.0,0.6977631155005003,0.0,0.0,23,6,3,18.28046528,0,13.087135483560107
17888481,1,0.0,1,36.6834593,0.0,0.0,0.0,3.629221253,0.0,0.0,0.0,0.0,0.0,0.0,0.12280333244358901,0.0,0.0,1.0,300641.4205,0.0,-0.07205018683090286,0.001512908510869989,0.0012973486968952475,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,1,9,55.46434273,0,12.613676865772412
18032557,1,0.0,1,1749.278716,0.0,0.0,0.0,7.467530321,0.0,0.0,0.0,121.31621128377631,39.85088361557472,290.34973424080573,38.020756542033695,0.0,0.0,1.0,54957.2035,0.0,-0.24092392731786882,-0.1778401505393265,0.041061095158192534,88.30410375370688,0.0,0.0,0.0,0.0,0.7493188875683108,0.0,0.0,20,2,6,64.56748538,0,10.914328238952962
